Symbol,Description,Qty (Quantity),Cost Price,Cost Basis
AES,AES CORP,"3,355",14.01529955,"$47,021.33 "
AMZN,AMAZON.COM INC,121,205.27,"$24,837.67 "
BAC,BANK OF AMERICA CORP,23,53.67652174,"$1,234.56 "
BRK/B,BERKSHIRE HATHAWAY CLASS B,135,486,"$65,610.00 "
CVX,CHEVRON CORP NEW,316.8583,156.9786242,"$49,739.98 "
ENB,ENBRIDGE INC F,"1,793",48.38373118,"$86,752.03 "
FNV,FRANCO NEV CORP F,175,262.4359429,"$45,926.29 "
HL,HECLA MNG CO,"2,528",26.5204193,"$67,043.62 "
KO,THE COCA-COLA CO,100,63.948,"$6,394.80 "
MELI,MERCADOLIBRE INC,21,2280,"$47,880.00 "
MSFT,MICROSOFT CORP,184,406.98625,"$74,885.47 "
NOW,SERVICENOW INC,115,86.86,"$9,988.90 "
O,REALTY INCOME CORP REIT,203.1506,58.3284519,"$11,849.46 "
ONDS,ONDAS INC,"2,000",12.5,"$25,000.00 "
OXY,OCCIDENTAL PETE CORP,610,52.37114754,"$31,946.40 "
PAAS,PAN AMERN SILVER CORP F,552,63.24086957,"$34,908.96 "
PNC,PNC FINL SERVICES,200,207.995,"$41,599.00 "
IVV,ISHARES CORE S&P 500 ETF,35,444.2885714,"$15,550.10 "
SPY,STATE STREET SPDR S&P 500 ETF TRUST,12,426.25,"$5,115.00 "
